new_id, prob
6, 1
7, 1
8, 1
10, 1
11, 1
12, 2
18, 2
22, 1
25, 2
29, 1
35, 2
40, 1
41, 2
42, 2
44, 2
46, 1
48, 2
51, 1
54, 2
55, 1
56, 2
58, 2
60, 2
63, 1
65, 2
68, 2
71, 1
72, 2
75, 1
78, 2
80, 2
81, 1
83, 1
86, 2
89, 1
90, 2
92, 2
97, 1
104, 2
105, 2
108, 2
109, 1
112, 1
114, 2
122, 2
123, 1
124, 2
130, 2
134, 1
135, 2
140, 1
142, 2
143, 2
145, 1
147, 1
151, 2
152, 1
153, 2
156, 2
159, 2
166, 1
167, 2
169, 2
170, 1
171, 1
175, 1
176, 1
180, 2
186, 2
189, 2
190, 2
191, 2
197, 2
198, 1
199, 2
200, 1
203, 1
205, 2
208, 1
209, 2
210, 1
213, 2
214, 1
215, 1
221, 2
223, 2
224, 1
225, 2
227, 1
229, 2
230, 1
231, 2
232, 1
234, 1
236, 2
237, 2
238, 1
240, 2
241, 1
242, 1
243, 1
244, 2
245, 1
249, 2
251, 2
256, 1
257, 1
259, 1
261, 1
262, 1
264, 2
267, 2
268, 1
270, 2
273, 2
276, 2
277, 2
280, 2
281, 1
283, 2
284, 2
285, 1
289, 1
291, 2
294, 2
297, 2
298, 1
302, 2
304, 2
305, 2
306, 2
310, 1
312, 2
316, 1
319, 2
320, 1
323, 1
324, 1
325, 1
334, 2
336, 2
337, 1
338, 1
340, 1
341, 2
342, 2
345, 1
346, 1
348, 1
350, 2
351, 1
352, 2
357, 2
359, 1
361, 2
362, 1
363, 2
364, 1
365, 1
366, 2
368, 1
369, 1
372, 2
375, 1
377, 2
378, 2
379, 1
380, 1
381, 2
382, 2
384, 1
385, 1
389, 2
390, 1
392, 1
394, 2
396, 2
399, 1
401, 2
402, 2
403, 2
404, 2
405, 2
406, 2
408, 2
409, 1
412, 2
415, 1
416, 1
418, 2
419, 2
420, 1
421, 2
424, 1
425, 1
426, 1
427, 1
428, 1
429, 2
430, 1
431, 2
433, 1
436, 2
437, 1
439, 1
440, 2
442, 2
444, 2
445, 2
447, 2
448, 2
450, 2
452, 2
455, 1
457, 1
458, 2
460, 1
461, 1
462, 2
466, 1
467, 2
468, 1
471, 1
472, 1
475, 1
478, 2
479, 1
480, 1
490, 2
492, 1
493, 1
494, 2
495, 2
497, 1
498, 1
503, 1
505, 2
508, 1
510, 1
512, 1
514, 1
515, 1
516, 1
519, 1
523, 1
526, 1
527, 2
529, 1
530, 1
535, 2
536, 1
539, 2
542, 1
543, 1
545, 2
546, 1
547, 2
548, 1
549, 1
550, 1
553, 1
557, 1
558, 1
559, 1
561, 2
562, 1
564, 2
565, 2
567, 2
568, 2
570, 2
572, 2
574, 2
575, 2
577, 1
579, 1
582, 1
586, 1
587, 1
589, 1
593, 2
594, 2
595, 2
597, 2
599, 2
600, 1
602, 1
607, 1
608, 1
609, 1
613, 1
616, 1
621, 1
623, 2
625, 1
626, 1
627, 1
628, 1
629, 1
633, 1
638, 2
641, 2
642, 2
644, 2
646, 2
648, 2
649, 2
651, 2
655, 2
657, 2
658, 1
659, 1
663, 1
664, 2
667, 1
668, 1
672, 2
673, 2
674, 1
676, 2
677, 1
679, 1
680, 2
682, 2
683, 1
688, 1
690, 2
692, 1
694, 2
695, 1
699, 2
700, 1
702, 1
705, 1
706, 2
708, 1
710, 1
712, 1
715, 2
717, 1
718, 2
720, 1
721, 2
723, 1
727, 2
730, 2
731, 1
732, 2
734, 1
736, 2
737, 2
738, 2
739, 2
740, 2
741, 1
743, 2
744, 1
745, 2
746, 2
747, 1
748, 2
749, 2
751, 1
755, 1
756, 1
759, 2
761, 1
762, 1
763, 1
764, 1
766, 1
767, 1
768, 2
772, 1
775, 2
776, 2
777, 2
778, 1
780, 1
781, 1
782, 1
784, 2
785, 1
786, 1
787, 2
789, 2
790, 2
792, 1
794, 2
797, 1
799, 1
802, 2
805, 1
806, 2
808, 1
809, 2
810, 1
814, 1
819, 1
820, 1
821, 1
822, 1
823, 1
828, 2
832, 2
834, 2
835, 2
843, 1
845, 2
847, 1
849, 1
850, 2
852, 1
853, 2
854, 1
855, 1
856, 2
857, 1
858, 1
859, 2
860, 2
861, 2
862, 2
864, 2
865, 2
867, 2
869, 2
871, 1
872, 2
873, 1
876, 2
878, 2
881, 2
882, 1
883, 2
888, 2
894, 1
895, 1
897, 1
898, 2
906, 2
907, 2
910, 1
911, 1
913, 1
917, 1
919, 2
922, 2
923, 1
926, 2
928, 1
931, 2
938, 2
939, 2
940, 1
941, 2
942, 2
943, 1
948, 2
949, 2
950, 2
953, 2
955, 1
964, 2
965, 2
968, 1
969, 2
972, 1
973, 2
974, 2
975, 2
976, 2
979, 1
980, 1
981, 2
982, 2
984, 2
985, 1
990, 1
991, 1
998, 2
1007, 1
1008, 1
1010, 1
1015, 1
1016, 2
1018, 2
1020, 2
1021, 2
1022, 1
1025, 1
1026, 1
1028, 1
1029, 1
1031, 1
1036, 2
1037, 1
1038, 1
1040, 2
1041, 2
1042, 1
1043, 2
1046, 1
1047, 1
1048, 2
1049, 1
1051, 2
1052, 1
1053, 1
1054, 2
1056, 1
